text,category
How do I locate my card?,card_arrival
"I still have not received my new card, I ordered over a week ago.",card_arrival
I ordered a card but it has not arrived. Help please!,card_arrival
Is there a way to know when my card will arrive?,card_arrival
My card has not arrived yet.,card_arrival
When will I get my card?,card_arrival
Do you know if there is a tracking number for the new card you sent me?,card_arrival
i have not received my card,card_arrival
still waiting on that card,card_arrival
Is it normal to have to wait over a week for my new card?,card_arrival
How do I track my card?,card_arrival
How long does a card delivery take?,card_arrival
I still don't have my card after 2 weeks.  What should I do?,card_arrival
still waiting on my new card,card_arrival
I am still waiting for my card after 1 week.  Is this ok?,card_arrival
"I have been waiting longer than expected for my bank card, could you provide information on when it will arrive?",card_arrival
I've been waiting longer than expected for my card.,card_arrival
Why hasn't my card been delivered?,card_arrival
Can the card be mailed and used in Europe?,country_support